Graph Name,N,M,Density,S-T Dist,Diameter,PR_seq Flow,PR_seq Time,PBBS Flow,PBBS Time 1T,PBBS Time 2T,PBBS Time 4T,PBBS Time 8T,PBBS Time 16T,PBBS Time 32T,PBBS Time 64T
europe.bin,unknown,unknown,unknown,unknown,unknown,1,82.428600,1,35.521000,37.010000,36.003000,38.415000,35.665000,33.045000,35.431000
CHEM_10.bin,4208261,42082610,10,1,22961,28551,2.782120,28551,1.640000,1.605000,1.504000,1.503000,1.767000,1.646000,1.640000
Cosmo50_10_sym.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
sd_arc_sym.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
Household_2.bin,2049280,4098560,2,-1,28,0,.436977,N/A,.012000,.012000,.012000,.012000,.012000,.012000,.014000
com-orkut_sym.bin,unknown,unknown,unknown,unknown,unknown,0,38.368200,N/A,0,0,0,0,0,0,.002000
Slashdot_sym.bin,77360,938360,12.1298,1,8,878566,.079203,878566,.059000,.037000,.026000,.019000,.013000,.011000,.014000
grid_1000_10000_03_sym.bin,10000000,20445162,2.04452,-1,10066,0,.996268,N/A,0,0,0,0,0,0,.003000
HT_10.bin,928991,9289910,10,1,1205,28551,.377784,28551,.195000,.201000,.193000,.200000,.204000,.202000,.196000
Cosmo50_10.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
hugetrace-00020_sym.bin,16002413,47997626,2.9994,5,4472,7629,8.377190,7629,3.936000,4.057000,4.039000,4.046000,4.009000,3.977000,4.079000
CHEM_5.bin,4208261,21041305,5,1,12549,9344,.912568,9344,.328000,.355000,.256000,.257000,.255000,.255000,.282000
us.bin,unknown,unknown,unknown,unknown,unknown,60,44.376800,60,56.499000,49.726000,49.820000,54.330000,51.603000,49.544000,49.624000
eu-2015-host.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
chain_1e8.bin,unknown,unknown,unknown,unknown,unknown,1,51.762100,1,87.997000,86.589000,83.555000,84.912000,84.406000,84.023000,85.395000
Household_10.bin,2049280,20492800,10,12,672,29907,2.976870,29907,1.089000,1.010000,1.058000,1.076000,.931000,1.054000,1.007000
sd_arc.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
roadNet-CA_sym.bin,1965206,5533214,2.81559,1,741,3425,.462214,3425,.336000,.334000,.305000,.333000,.303000,.333000,.307000
CHEM_2_sym.bin,4208261,12367726,2.93892,1,268,1915,.585145,1915,.022000,.024000,.031000,.034000,.033000,.023000,.026000
hugebubbles-00020_sym.bin,21198119,63580358,2.99934,2,7810,7629,13.242700,7629,6.005000,5.813000,5.690000,5.672000,5.650000,5.679000,6.044000
twitter_sym.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
GeoLifeNoScale_20_sym.bin,unknown,unknown,unknown,unknown,unknown,113853,88.626700,113853,22.311000,23.168000,18.952000,18.829000,18.588000,20.904000,20.057000
Cosmo50_5.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,N/A,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
CHEM_2.bin,4208261,8416522,2,1,268,1228,.445920,1228,.806000,.789000,.791000,.799000,.796000,.797000,.790000
hollywood_2009_sym.bin,1069126,112613306,105.332,1,9,10935,8.987230,10935,2.556000,2.388000,2.497000,2.738000,2.361000,2.356000,2.527000
Cosmo50_2.bin,unknown,unknown,unknown,unknown,unknown,0,115.885000,N/A,1.967000,1.752000,2.294000,1.762000,1.692000,1.770000,1.653000
soc-LiveJournal1.bin,4847571,68993773,14.2326,1,13,238681,9.496630,238681,3.143000,2.945000,2.911000,2.895000,2.945000,2.883000,2.895000
us_sym.bin,unknown,unknown,unknown,unknown,unknown,3800,177.764000,3800,85.787000,52.079000,44.275000,41.645000,39.547000,37.612000,37.789000
europe_sym.bin,unknown,unknown,unknown,unknown,unknown,ERROR,ERROR,2372,ERROR,112.506000,88.221000,76.573000,71.690000,62.496000,75.416000
indochina_sym.bin,unknown,unknown,unknown,unknown,unknown,1,18.503400,1,.035000,.036000,.036000,.036000,.036000,.148000,.038000
Household_2_sym.bin,2049280,5515804,2.69158,-1,28,0,.596211,N/A,.042000,.041000,.043000,.043000,.043000,.041000,.045000
africa_sym.bin,unknown,unknown,unknown,unknown,unknown,0,32.854100,N/A,10.926000,11.312000,11.412000,11.390000,10.648000,11.224000,10.991000
CHEM_10_sym.bin,4208261,58022728,13.7878,1,22961,37662,3.687110,37662,1.327000,1.418000,1.482000,1.492000,1.387000,1.320000,1.309000
chain_1e7_sym.bin,10000000,19999998,2,2028426,7852191,1,8.672970,1,9.672000,10.888000,9.581000,9.289000,9.405000,9.652000,9.639000
CHEM_5_sym.bin,4208261,29650038,7.04567,1,12549,12162,1.234030,12162,.053000,.051000,.103000,.079000,.048000,.048000,.051000
GeoLifeNoScale_5_sym.bin,unknown,unknown,unknown,unknown,unknown,0,13.004500,N/A,.113000,.121000,.115000,.110000,.116000,.108000,.115000
enwiki-2023.bin,unknown,unknown,unknown,unknown,unknown,12162,25.633700,12162,21.106000,17.307000,15.091000,14.251000,13.706000,13.285000,13.086000
